,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,y
161,0,33.08,1.625,2,2,4,0.54,0,0,0,1,2,0,1,0
181,0,33.75,0.75,2,4,5,1.0,1,1,3,1,2,212,1,0
236,0,24.33,2.5,1,3,5,4.5,0,0,0,0,2,200,457,0
428,0,24.83,4.5,2,9,4,1.0,0,0,0,1,2,360,7,0
159,1,47.83,4.165,2,14,5,0.085,0,0,0,1,2,520,1,0
386,0,26.17,2.0,2,5,3,0.0,0,0,0,1,2,276,2,0
78,1,23.08,0.0,2,4,4,1.0,0,1,11,0,1,0,1,0
92,1,28.67,14.5,2,2,4,0.125,0,0,0,0,2,0,287,0
460,1,25.92,0.875,2,4,4,0.375,0,1,2,1,2,174,4,0
66,0,19.5,0.165,2,11,4,0.04,0,0,0,1,2,380,1,0
453,1,42.0,0.205,2,3,8,5.125,1,0,0,0,2,400,1,1
463,1,31.67,16.165,2,2,4,3.0,1,1,9,0,2,250,731,1
272,1,16.5,0.125,2,8,4,0.165,0,0,0,0,2,132,1,0
632,0,28.42,3.5,2,9,4,0.835,1,0,0,0,1,280,1,1
557,1,23.33,1.5,2,8,8,1.415,1,0,0,0,2,422,201,1
355,1,31.08,3.085,2,8,4,2.5,0,1,2,1,2,160,42,0
534,1,31.83,2.5,2,6,4,7.5,1,0,0,1,2,523,1,0
615,1,21.33,7.5,2,6,4,1.415,1,1,1,0,2,80,9801,1
15,1,48.08,6.04,2,4,4,0.04,0,0,0,0,2,0,2691,1
508,1,34.83,2.5,1,9,4,3.0,0,0,0,0,1,200,1,0
333,1,36.17,0.42,1,9,4,0.29,0,0,0,1,2,309,3,0
6,1,17.42,6.5,2,3,4,0.125,0,0,0,0,2,60,101,0
578,0,25.42,1.125,2,11,4,1.29,1,1,2,0,2,200,1,0
71,0,30.42,1.375,2,9,8,0.04,0,1,3,0,2,0,34,0
406,1,34.42,4.25,2,3,5,3.25,1,1,2,0,2,274,611,1
301,1,20.0,11.045,2,8,4,2.0,0,0,0,1,2,136,1,0
456,1,44.33,0.5,2,3,8,5.0,1,0,0,1,2,320,1,1
104,1,19.0,0.0,1,1,1,0.0,0,1,4,0,2,45,2,0
624,1,28.33,5.0,2,9,4,11.0,1,0,0,1,2,70,1,1
188,0,29.75,0.665,2,9,4,0.25,0,0,0,1,2,300,1,0
380,1,39.08,6.0,2,7,4,1.29,1,1,5,1,2,108,1098,1
369,1,33.58,2.75,2,7,4,4.25,1,1,6,0,2,204,1,1
362,0,27.25,0.29,2,7,8,0.125,0,1,1,1,2,272,109,0
90,1,27.75,1.29,2,4,8,0.25,0,0,0,1,1,140,1,0
596,1,20.5,10.0,1,8,4,2.5,1,0,0,0,1,40,1,1
303,1,18.58,5.71,2,2,4,0.54,0,0,0,0,2,120,1,0
204,0,24.75,3.0,2,11,8,1.835,1,1,19,0,2,0,501,1
351,1,27.42,12.5,2,6,5,0.25,0,0,0,1,2,720,1,0
118,1,22.75,11.0,2,11,4,2.5,1,1,7,1,2,100,810,1
247,1,60.08,14.5,2,1,1,18.0,1,1,15,1,2,0,1001,1
652,1,26.33,13.0,2,10,2,0.0,0,0,0,1,2,140,1111,0
513,0,45.83,10.5,2,11,4,5.0,1,1,7,1,2,0,1,1
230,0,20.67,3.0,2,11,4,0.165,1,1,3,0,2,100,7,1
250,1,24.08,9.0,2,6,4,0.25,0,0,0,1,2,0,1,0
109,1,32.33,2.5,2,8,4,1.25,0,0,0,1,2,280,1,0
365,0,50.25,0.835,2,6,4,0.5,0,0,0,1,2,240,118,0
205,1,30.83,0.0,2,9,4,1.25,1,1,1,0,2,202,1,1
325,1,38.17,10.125,2,14,4,2.5,1,1,6,0,2,520,197,1
190,1,17.25,3.0,2,4,4,0.04,0,0,0,1,2,160,41,0
313,0,19.67,0.21,2,11,8,0.29,1,1,11,0,2,80,100,1
416,0,24.58,0.67,2,6,8,1.75,1,0,0,0,2,400,1,0
315,1,26.83,0.54,2,4,1,0.0,0,0,0,0,2,100,1,0
375,0,58.42,21.0,2,3,5,10.0,1,1,13,0,2,0,6701,1
526,1,32.67,9.0,1,9,8,5.25,1,0,0,1,2,154,1,1
344,1,22.67,0.165,2,8,3,2.25,0,0,0,1,1,0,1,1
316,0,38.58,5.0,2,13,4,13.5,1,0,0,1,2,980,1,0
194,1,23.42,0.585,2,8,8,0.085,1,0,0,0,2,180,1,0
395,1,31.57,0.04,1,2,4,4.25,0,0,0,1,2,460,1,0
436,1,24.58,12.5,2,9,4,0.875,1,0,0,1,2,260,1,0
628,0,24.5,1.04,1,1,1,0.5,1,1,3,0,2,180,148,0
511,1,18.17,10.25,2,8,8,1.085,0,0,0,0,2,320,14,0
318,0,15.75,0.375,2,8,4,1.0,0,0,0,0,2,120,19,0
132,1,24.58,13.5,1,1,1,0.0,0,0,0,0,2,184,1,0
233,1,56.42,28.0,1,8,4,28.5,1,1,40,0,2,0,16,1
173,1,62.5,12.75,1,8,8,5.0,1,0,0,0,2,112,1,0
178,1,41.17,4.04,2,13,8,7.0,1,1,8,0,2,320,1,1
636,1,24.58,1.25,2,8,4,0.25,0,0,0,0,2,110,1,0
352,1,31.57,4.0,2,14,4,5.0,1,1,3,1,2,290,2280,1
172,1,22.67,0.75,2,3,4,1.585,0,1,1,1,2,400,10,0
97,1,31.83,0.04,1,7,4,0.04,0,0,0,0,2,0,1,0
435,1,16.08,0.75,2,8,4,1.75,1,1,5,1,2,352,691,1
669,1,17.67,4.46,2,8,4,0.25,0,0,0,0,1,80,1,0
524,1,21.83,11.0,2,14,4,0.29,1,1,6,0,2,121,1,1
206,1,20.75,5.085,1,5,4,0.29,0,0,0,0,2,140,185,0
575,0,17.83,11.0,2,14,8,1.0,1,1,11,0,2,0,3001,1
267,1,34.17,1.54,2,13,4,1.54,1,1,1,1,2,520,50001,1
96,0,38.92,1.665,2,6,4,0.25,0,0,0,0,2,0,391,0
400,0,32.0,6.0,2,2,4,1.25,0,0,0,0,2,272,1,0
594,1,47.17,5.835,2,9,4,5.5,0,0,0,0,2,465,151,0
643,1,23.75,12.0,2,8,4,2.085,0,0,0,0,1,80,1,0
243,1,80.25,5.5,2,8,4,0.54,1,0,0,0,2,0,341,0
602,1,22.58,10.04,2,14,4,0.04,1,1,9,0,2,60,397,1
89,1,22.17,0.585,1,1,1,0.0,0,0,0,0,2,100,1,0
