,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,y
574,1,31.67,0.83,2,14,4,1.335,1,1,8,1,2,303,3291,1
251,1,24.5,13.335,1,6,4,0.04,0,0,0,1,2,120,476,0
252,1,34.75,15.0,2,12,7,5.375,1,1,9,1,2,0,135,1
662,1,39.92,0.54,1,6,4,0.5,1,1,3,0,2,200,1001,1
518,1,26.67,4.25,2,13,4,4.29,1,1,1,1,2,120,1,1
6,1,17.42,6.5,2,3,4,0.125,0,0,0,0,2,60,101,0
13,1,34.92,5.0,2,14,8,7.5,1,1,6,1,2,0,1001,1
143,1,64.08,20.0,2,14,8,17.5,1,1,9,1,2,0,1001,1
292,1,24.83,2.75,2,8,4,2.25,1,1,6,0,2,184,601,1
380,1,39.08,6.0,2,7,4,1.29,1,1,5,1,2,108,1098,1
265,0,28.58,3.75,2,8,4,0.25,0,1,1,1,2,40,155,0
231,1,27.83,1.5,2,9,4,2.25,0,1,1,1,2,100,4,0
620,1,26.92,2.25,2,3,5,0.5,0,0,0,1,2,640,4001,0
80,1,25.17,3.5,2,13,4,0.625,1,1,7,0,2,0,7060,1
228,1,45.0,8.5,2,13,8,14.0,1,1,1,1,2,88,2001,1
175,1,35.25,3.165,2,14,8,3.75,1,0,0,1,2,680,1,0
193,1,34.58,0.0,2,8,4,0.0,0,0,0,0,3,184,1,0
515,0,31.57,3.5,2,2,4,3.0,1,0,0,1,2,300,1,0
493,0,25.0,11.0,1,6,4,4.5,1,0,0,0,2,120,1,0
454,0,22.5,11.0,1,11,4,3.0,1,0,0,1,2,268,1,0
645,1,30.33,0.5,2,2,8,0.085,0,0,0,1,1,252,1,0
138,1,25.75,0.5,2,8,4,1.46,1,1,5,1,2,312,1,1
227,1,20.25,9.96,2,10,2,0.0,1,0,0,0,2,0,1,1
63,0,40.83,3.5,2,3,5,0.5,0,0,0,0,1,1160,1,0
327,0,51.92,6.5,2,3,5,3.085,0,0,0,1,2,73,1,0
185,1,30.67,2.5,2,13,8,2.25,0,0,0,1,1,340,1,0
322,1,54.58,9.415,2,1,1,14.415,1,1,11,1,2,30,301,1
268,1,35.0,2.5,2,3,4,1.0,0,0,0,1,2,210,1,0
147,0,15.92,2.875,2,11,4,0.085,0,0,0,0,2,120,1,0
368,0,36.58,0.29,2,1,1,0.0,0,1,10,0,2,200,19,0
132,1,24.58,13.5,1,1,1,0.0,0,0,0,0,2,184,1,0
584,1,21.17,0.875,1,8,8,0.25,0,0,0,0,2,280,205,0
257,1,48.5,4.25,2,7,4,0.125,1,0,0,1,2,225,1,1
666,1,26.75,4.5,1,8,5,2.5,0,0,0,0,2,200,1211,0
621,0,18.42,9.25,2,11,4,1.21,1,1,4,0,2,60,541,1
432,0,30.58,10.665,2,11,8,0.085,0,1,12,1,2,129,4,0
233,1,56.42,28.0,1,8,4,28.5,1,1,40,0,2,0,16,1
139,0,46.08,3.0,2,8,4,2.375,1,1,8,1,2,396,4160,1
74,1,40.25,21.5,2,10,9,20.0,1,1,11,0,2,0,1201,1
166,1,23.08,2.5,2,1,1,0.085,0,0,0,1,2,100,4209,0
542,1,44.0,2.0,2,7,4,1.75,1,1,2,1,2,0,16,1
410,1,32.42,2.165,1,4,1,0.0,0,0,0,0,2,120,1,0
557,1,23.33,1.5,2,8,8,1.415,1,0,0,0,2,422,201,1
155,1,19.17,0.0,1,7,5,0.0,0,0,0,1,1,500,2,1
311,0,49.0,1.5,2,5,3,0.0,1,0,0,1,2,100,28,0
408,1,53.92,9.625,2,10,4,8.665,1,1,5,0,2,0,1,1
594,1,47.17,5.835,2,9,4,5.5,0,0,0,0,2,465,151,0
223,1,29.58,4.75,2,7,4,2.0,0,1,1,1,2,460,69,0
279,1,48.25,25.085,2,9,4,1.75,1,1,3,0,2,120,15,1
122,0,38.75,1.5,2,1,1,0.0,0,0,0,0,2,76,1,0
373,0,23.58,0.83,2,11,4,0.415,0,1,1,1,2,200,12,0
273,0,20.08,0.125,2,11,4,1.0,0,1,1,0,2,240,769,1
57,0,37.33,2.5,2,3,8,0.21,0,0,0,0,2,260,247,0
615,1,21.33,7.5,2,6,4,1.415,1,1,1,0,2,80,9801,1
