,age,recidivated,number_of_prior_crimes,months_in_jail,felony,misdemeanor,woman,man,black,y
4626,31,0,14,0,1,0,1,0,0,0
4019,37,0,4,0,0,1,0,1,0,1
5413,22,0,0,0,0,1,0,1,1,1
4678,56,1,6,1,1,0,0,1,0,1
4812,42,0,0,0,0,1,1,0,0,1
5461,30,0,0,0,0,1,0,1,0,1
2768,24,0,1,1,0,1,0,1,1,1
3640,27,1,8,0,0,1,0,1,1,1
3892,44,0,0,0,0,1,1,0,0,1
242,21,1,0,1,0,1,0,1,1,0
1507,34,1,3,33,1,0,0,1,1,1
2795,31,1,2,1,1,0,1,0,0,1
4965,51,0,0,0,0,1,0,1,0,1
4032,56,0,0,5,1,0,0,1,1,1
4402,23,1,2,7,1,0,0,1,1,0
651,23,0,2,1,0,1,0,1,0,1
3180,23,0,0,1,1,0,0,1,1,1
3263,23,1,2,1,0,1,0,1,1,1
799,26,1,5,3,1,0,0,1,1,0
2182,26,0,5,0,0,1,0,1,0,1
2799,21,1,1,0,0,1,0,1,0,1
1043,34,1,2,23,0,1,0,1,1,1
4430,26,0,6,10,0,1,0,1,1,0
562,53,0,1,1,0,1,0,1,0,1
95,34,0,0,14,1,0,0,1,0,1
3157,38,0,12,0,1,0,0,1,0,1
1050,32,0,1,-1,1,0,0,1,1,1
3780,23,1,5,4,1,0,0,1,1,0
2600,34,0,5,2,0,1,0,1,1,1
4453,68,1,7,5,1,0,0,1,0,1
3302,21,1,0,0,1,0,1,0,1,1
3705,23,0,1,0,0,1,0,1,0,1
1746,24,1,1,0,0,1,0,1,1,1
461,43,1,2,4,0,1,0,1,0,1
1455,47,0,6,5,1,0,0,1,1,1
314,53,0,1,0,0,1,1,0,0,1
5256,22,0,0,0,0,1,0,1,0,1
1234,21,0,1,1,1,0,1,0,0,1
2648,35,0,5,0,1,0,0,1,0,1
4884,50,0,0,2,1,0,0,1,0,1
5703,25,0,4,1,1,0,0,1,0,0
3117,29,1,9,14,1,0,1,0,1,1
2133,31,1,1,10,0,1,1,0,0,1
552,27,1,13,2,1,0,0,1,1,1
1177,48,1,4,4,1,0,0,1,0,1
3327,26,1,1,3,1,0,0,1,0,1
4658,39,0,3,1,1,0,1,0,0,1
1916,35,1,0,40,1,0,0,1,0,1
4141,43,0,12,52,1,0,0,1,0,1
3417,20,0,0,0,1,0,0,1,0,1
1601,26,1,1,0,1,0,0,1,1,1
3936,35,0,7,28,1,0,0,1,1,1
4179,50,0,0,0,1,0,0,1,0,1
5982,46,1,2,64,1,0,0,1,1,1
2686,22,1,0,0,0,1,0,1,1,1
117,31,1,2,15,0,1,0,1,0,1
1965,26,1,5,6,1,0,0,1,1,1
5815,24,1,1,0,1,0,1,0,1,1
4527,21,1,2,28,1,0,0,1,1,1
2828,26,1,24,85,0,1,0,1,1,0
3694,40,0,0,1,1,0,0,1,1,1
4779,27,1,5,6,1,0,0,1,0,1
2399,38,0,0,1,0,1,0,1,0,1
1544,25,0,0,0,1,0,0,1,1,1
1067,23,0,4,27,1,0,0,1,0,0
2260,26,0,0,0,1,0,0,1,1,0
4304,36,0,1,0,0,1,0,1,0,1
2011,35,1,10,0,0,1,0,1,1,0
5948,30,1,0,0,0,1,1,0,1,1
556,22,0,3,0,1,0,0,1,1,1
3830,25,1,0,0,1,0,0,1,1,1
2527,22,0,0,5,1,0,1,0,1,1
1002,24,0,5,1,1,0,0,1,0,1
1176,36,0,0,1,1,0,0,1,1,0
2265,28,0,1,0,1,0,0,1,1,1
5416,41,0,3,1,1,0,0,1,0,1
3580,42,0,0,1,0,1,1,0,0,1
3840,27,1,7,0,1,0,0,1,0,0
543,21,0,0,0,1,0,0,1,1,1
2847,25,0,0,7,0,1,0,1,1,1
2026,50,0,0,2,1,0,0,1,0,1
4410,36,0,0,0,0,1,0,1,0,1
5473,28,1,11,2,1,0,0,1,1,1
2861,53,1,6,8,0,1,0,1,1,1
1346,28,1,0,2,0,1,0,1,0,1
5274,46,0,0,0,1,0,0,1,0,1
3895,30,0,0,0,1,0,0,1,1,1
953,40,0,0,0,0,1,1,0,0,1
788,29,0,2,1,1,0,0,1,0,1
4749,27,0,1,31,0,1,0,1,0,1
3233,57,0,1,0,1,0,0,1,0,1
4000,22,0,1,8,1,0,0,1,0,1
4447,55,0,0,0,0,1,0,1,0,1
1191,21,0,0,1,1,0,0,1,0,1
3776,47,1,0,1,1,0,0,1,1,0
5197,32,1,15,90,1,0,0,1,0,0
203,30,0,4,-1,1,0,0,1,1,1
578,27,0,3,0,1,0,0,1,1,1
1245,56,0,1,169,1,0,1,0,0,0
5308,28,1,4,5,1,0,0,1,1,1
4530,58,0,10,0,0,1,0,1,0,1
5818,26,1,3,2,0,1,0,1,1,1
5083,63,1,9,1,1,0,0,1,1,1
5323,20,1,0,0,1,0,0,1,1,1
1085,30,0,0,0,0,1,0,1,0,1
1005,31,1,2,0,1,0,0,1,0,1
2162,53,0,0,1,0,1,0,1,0,1
2831,38,1,1,1,0,1,1,0,0,1
3858,28,1,0,0,0,1,1,0,0,1
435,34,0,6,52,1,0,1,0,1,1
269,20,1,0,209,1,0,0,1,1,0
2853,40,0,1,1,1,0,0,1,1,1
817,21,1,0,0,0,1,1,0,0,1
3482,54,0,2,0,0,1,0,1,0,1
2279,55,0,0,1,0,1,1,0,0,1
5639,51,0,0,5,0,1,0,1,1,1
2027,36,0,0,1,0,1,1,0,0,1
1329,22,0,0,1,1,0,0,1,1,1
5466,30,0,3,206,0,1,0,1,1,1
636,37,0,0,37,1,0,1,0,1,1
420,38,0,0,1,1,0,0,1,1,1
6039,51,0,0,-1,1,0,0,1,0,1
245,34,0,5,1,0,1,0,1,0,1
5990,29,1,10,29,1,0,0,1,1,0
