,age,recidivated,number_of_prior_crimes,months_in_jail,felony,misdemeanor,woman,man,black,y
5778,41,1,13,0,1,0,0,1,1,0
4629,39,1,3,1,1,0,0,1,0,1
5575,43,1,0,1,1,0,0,1,0,1
3790,36,0,0,0,0,1,1,0,0,1
1663,31,1,4,1,0,1,0,1,1,1
4584,60,0,0,1,0,1,0,1,0,1
5019,25,1,4,33,1,0,0,1,0,0
1553,37,0,3,0,0,1,0,1,0,1
4869,25,0,0,1,0,1,1,0,0,1
1039,40,0,0,0,0,1,0,1,0,1
2716,31,0,0,2,1,0,0,1,1,1
4246,25,1,3,19,1,0,0,1,0,1
1096,46,0,0,0,0,1,0,1,0,1
3129,26,0,1,0,1,0,0,1,0,1
5110,49,1,3,0,1,0,0,1,1,0
1550,28,1,8,20,1,0,0,1,1,0
4216,33,0,0,0,1,0,0,1,1,1
2231,96,1,2,0,1,0,0,1,0,1
3933,25,0,2,9,1,0,0,1,0,1
201,28,0,1,6,1,0,0,1,0,1
2152,35,0,2,8,1,0,0,1,0,1
785,21,1,2,0,1,0,0,1,1,0
1288,33,1,7,1,0,1,0,1,1,1
3169,40,0,3,13,1,0,0,1,1,1
4573,34,0,1,23,1,0,0,1,1,1
9,37,0,0,0,0,1,1,0,0,1
3474,38,1,0,749,0,1,0,1,1,0
678,24,1,1,0,0,1,1,0,1,1
4806,55,1,8,2,1,0,0,1,1,1
3631,25,1,1,0,1,0,0,1,1,1
278,28,0,1,1,1,0,0,1,0,1
4050,40,0,3,40,0,1,0,1,0,1
2002,54,1,1,1,0,1,0,1,0,1
1420,45,0,1,-1,1,0,0,1,0,1
786,32,1,19,14,1,0,0,1,1,0
5979,23,1,0,1,0,1,0,1,0,1
6000,49,1,3,34,1,0,0,1,0,0
4842,29,1,11,49,1,0,0,1,0,0
551,22,1,1,1,1,0,0,1,1,1
4679,26,0,4,0,1,0,0,1,1,0
3517,38,1,5,41,1,0,1,0,0,1
5803,23,1,3,1,1,0,0,1,1,0
4783,24,0,0,2,1,0,0,1,0,1
5087,40,0,0,2,0,1,1,0,0,1
650,25,0,6,6,1,0,0,1,1,1
1363,51,1,5,20,0,1,1,0,0,1
4081,33,1,3,7,1,0,0,1,1,1
3492,50,0,0,0,1,0,0,1,1,1
2314,27,1,5,3,1,0,0,1,1,1
6023,44,0,1,0,0,1,0,1,0,1
1296,36,1,1,106,1,0,0,1,0,1
3917,36,0,1,3,0,1,0,1,0,1
5192,61,0,25,1,1,0,0,1,1,1
3204,30,0,1,0,1,0,1,0,1,1
3662,38,0,2,0,1,0,0,1,0,1
2493,64,0,8,0,1,0,0,1,0,1
2843,28,1,10,243,1,0,0,1,1,1
267,56,0,0,1,0,1,0,1,0,1
2374,47,0,2,1,0,1,0,1,0,1
2030,29,0,0,0,0,1,0,1,1,1
321,37,1,23,17,1,0,0,1,1,0
4231,39,0,1,1,1,0,0,1,0,1
2324,25,1,1,0,0,1,1,0,0,1
2020,26,0,3,1,0,1,0,1,1,0
5661,25,1,2,0,0,1,0,1,1,1
5955,22,1,0,1,0,1,0,1,1,0
6124,28,0,1,0,1,0,0,1,0,1
4859,30,0,1,0,1,0,0,1,1,1
2973,56,1,3,1,0,1,0,1,1,1
1867,38,1,2,192,1,0,0,1,1,1
5341,33,1,6,152,1,0,0,1,0,1
1713,26,0,0,0,0,1,0,1,1,1
5836,51,0,0,1,1,0,0,1,0,1
3218,30,0,6,0,0,1,0,1,0,1
5828,43,0,2,-1,1,0,0,1,1,1
3212,31,1,9,0,0,1,0,1,1,1
589,24,0,1,1,0,1,0,1,1,1
4187,26,1,10,1,1,0,0,1,1,0
5866,34,0,0,1,1,0,1,0,0,1
1499,21,0,0,1,0,1,0,1,1,1
481,24,0,8,-1,1,0,0,1,0,0
6131,28,1,0,1,0,1,0,1,0,1
4834,33,0,2,0,0,1,0,1,0,1
454,32,0,20,0,1,0,0,1,0,0
1811,51,0,4,7,0,1,0,1,1,1
5477,29,1,3,0,1,0,0,1,1,1
4322,45,0,2,2,0,1,0,1,0,1
5422,25,0,0,0,0,1,0,1,1,1
2089,27,0,0,5,1,0,1,0,0,1
3738,25,1,2,11,0,1,0,1,0,1
5015,27,1,1,0,1,0,0,1,1,1
1114,43,0,2,5,1,0,0,1,1,1
2195,19,1,0,0,1,0,0,1,1,1
3510,32,0,0,1,0,1,0,1,1,1
5128,30,0,0,1,1,0,0,1,0,1
356,22,0,3,106,1,0,0,1,1,1
896,50,1,30,3,0,1,1,0,0,1
1719,34,0,0,116,1,0,0,1,0,1
2283,26,0,0,0,0,1,0,1,0,1
3410,26,1,2,0,1,0,0,1,0,0
2067,42,0,1,292,1,0,0,1,0,1
4984,29,0,0,0,1,0,1,0,0,1
266,51,0,0,1,0,1,1,0,0,1
2732,23,0,6,34,0,1,0,1,0,0
5534,35,0,13,4,1,0,0,1,0,1
1920,42,0,0,1,0,1,1,0,0,1
2148,53,0,1,0,0,1,0,1,1,1
1190,22,1,3,26,1,0,0,1,1,0
1279,56,0,1,2,0,1,0,1,0,1
3720,37,0,3,29,1,0,1,0,1,1
3170,32,1,17,0,1,0,0,1,1,0
1163,21,0,0,0,1,0,0,1,0,1
3021,31,0,2,2,0,1,0,1,1,1
3084,40,0,0,2,0,1,0,1,1,1
4740,34,1,0,33,1,0,0,1,1,0
5313,36,0,1,0,0,1,0,1,0,1
3907,31,1,10,181,1,0,0,1,1,1
2654,30,1,2,5,0,1,0,1,0,1
2609,27,0,0,1,0,1,1,0,0,1
5826,55,0,2,13,0,1,0,1,0,1
4601,36,1,4,1,1,0,0,1,0,1
690,26,0,8,2,1,0,0,1,0,1
746,26,0,1,1,0,1,1,0,1,1
2023,44,0,16,81,0,1,0,1,0,1
2166,21,0,0,0,0,1,0,1,1,0
5748,33,0,2,4,0,1,0,1,0,1
5583,22,0,0,1,0,1,1,0,1,1
6084,22,1,1,0,1,0,0,1,1,1
5372,39,0,9,0,1,0,0,1,1,1
2445,27,1,3,12,0,1,0,1,1,1
4323,20,1,2,10,1,0,0,1,1,1
4653,36,0,5,3,1,0,0,1,0,1
1021,38,0,3,1,1,0,0,1,1,1
4298,41,0,1,2,1,0,0,1,1,1
1856,43,1,0,1,0,1,0,1,0,1
3909,23,1,4,192,1,0,0,1,1,0
2303,48,0,1,0,0,1,1,0,0,1
317,28,0,1,1,0,1,0,1,1,1
4575,21,0,0,0,1,0,0,1,0,1
3950,25,0,1,0,1,0,0,1,1,1
89,30,0,0,5,1,0,0,1,0,1
399,20,1,1,2,1,0,0,1,1,0
1195,29,0,0,0,0,1,0,1,0,1
3337,22,1,1,0,1,0,0,1,0,1
793,47,0,0,1,0,1,0,1,0,1
1662,28,0,3,0,0,1,0,1,0,1
5555,52,1,7,117,1,0,0,1,1,0
599,23,0,0,0,0,1,0,1,0,1
4355,21,1,0,1,1,0,0,1,1,1
6134,27,0,1,16,0,1,0,1,1,1
4932,41,0,7,58,1,0,0,1,1,0
3407,30,1,7,0,1,0,0,1,0,0
1077,53,0,4,-1,1,0,0,1,0,1
4171,29,1,20,56,1,0,1,0,0,0
1439,23,0,2,13,1,0,0,1,0,1
6029,24,1,0,20,0,1,0,1,1,1
3429,49,0,0,-1,1,0,0,1,0,1
3989,25,0,2,64,0,1,0,1,0,1
1977,21,0,1,0,1,0,0,1,1,1
5005,52,0,0,0,0,1,0,1,0,1
150,54,0,2,188,1,0,0,1,0,1
1660,34,0,0,28,1,0,0,1,0,1
6160,30,1,19,9,1,0,0,1,1,0
726,26,1,4,1,0,1,0,1,1,0
2141,30,0,3,0,0,1,0,1,0,1
1990,52,0,0,0,1,0,0,1,1,1
4183,32,1,13,38,0,1,0,1,1,0
1036,24,1,2,0,0,1,0,1,1,1
381,27,1,13,1,0,1,0,1,1,0
5725,39,1,2,1,0,1,0,1,1,1
1606,36,0,0,1,0,1,0,1,0,1
240,70,0,1,12,0,1,0,1,0,1
3945,26,1,6,4,1,0,0,1,1,0
4742,21,1,0,2,1,0,0,1,0,1
3159,42,0,0,0,1,0,0,1,1,1
87,39,1,0,1,1,0,1,0,0,1
4492,26,1,1,1,1,0,1,0,1,1
665,57,0,11,140,1,0,0,1,1,1
3807,38,0,2,0,0,1,1,0,0,1
2928,55,0,3,1,0,1,0,1,0,1
4304,36,0,1,0,0,1,0,1,0,1
1469,25,1,7,3,0,1,0,1,1,0
1010,31,0,0,77,1,0,0,1,0,1
1222,48,1,9,3,1,0,0,1,1,1
4175,26,1,0,0,1,0,0,1,0,1
3481,23,1,0,3,1,0,0,1,0,1
342,56,0,0,0,0,1,0,1,0,1
390,42,0,0,1,1,0,0,1,1,1
2828,26,1,24,85,0,1,0,1,1,0
2896,39,0,1,39,1,0,1,0,0,1
4559,24,1,7,2,0,1,0,1,1,0
5354,20,1,2,33,1,0,0,1,1,0
884,53,0,0,0,0,1,1,0,0,1
1024,36,1,1,31,1,0,0,1,1,0
2977,32,0,0,0,1,0,0,1,0,1
2901,27,0,0,8,1,0,0,1,0,1
3524,33,1,1,0,1,0,0,1,1,1
2295,24,1,3,8,0,1,0,1,0,0
3357,21,1,0,1,1,0,1,0,1,0
1872,28,1,3,4,1,0,1,0,1,1
4044,32,1,7,51,1,0,0,1,1,1
6007,26,0,1,5,1,0,0,1,0,1
3428,60,0,3,0,0,1,0,1,1,1
4558,55,0,1,2,0,1,1,0,1,1
5999,31,1,9,1,0,1,0,1,0,0
1758,24,0,0,18,1,0,0,1,0,1
2748,26,0,1,1,0,1,0,1,0,1
151,58,0,0,0,1,0,0,1,0,1
209,28,1,25,25,1,0,0,1,1,0
1351,54,1,8,-1,1,0,0,1,1,1
2570,31,1,3,0,0,1,0,1,0,1
691,28,1,14,0,1,0,0,1,1,1
5250,31,0,0,4,0,1,1,0,1,1
197,43,1,13,51,1,0,0,1,0,1
2526,45,1,1,0,0,1,0,1,0,1
3572,28,1,2,1,1,0,0,1,0,1
3000,38,0,4,0,0,1,0,1,1,1
1291,32,0,12,1,1,0,0,1,1,0
4121,25,0,0,5,1,0,1,0,1,1
2813,44,0,0,11,1,0,0,1,0,1
2126,44,0,7,24,1,0,0,1,1,1
698,43,0,0,0,0,1,0,1,0,1
5027,21,0,0,0,1,0,0,1,1,1
5937,22,0,1,17,0,1,1,0,0,0
2879,22,1,0,1,1,0,0,1,0,1
4528,53,0,5,297,1,0,0,1,1,1
4845,30,1,14,64,1,0,0,1,1,0
1242,24,0,4,4,1,0,0,1,1,1
2909,41,1,4,-1,0,1,0,1,1,1
2740,47,1,3,39,1,0,0,1,1,0
4897,51,1,4,1,1,0,0,1,0,1
5385,38,1,10,-1,1,0,0,1,0,1
2516,26,1,10,0,1,0,0,1,0,1
5071,22,0,0,9,1,0,0,1,1,1
1641,40,0,0,1,1,0,0,1,1,1
2328,22,0,0,11,1,0,0,1,1,1
