,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,y
14,1,58.58,2.71,2,8,4,2.415,0,0,0,1,2,320,1,0
586,1,43.25,25.21,2,11,8,0.21,1,1,1,0,2,760,91,0
140,1,19.67,10.0,1,4,8,0.835,1,0,0,1,2,140,1,0
492,1,51.83,2.04,1,1,1,1.5,0,0,0,0,2,120,2,0
350,0,25.17,2.875,2,14,8,0.875,1,0,0,0,2,360,1,1
672,0,17.92,10.21,2,1,1,0.0,0,0,0,0,2,0,51,0
501,1,18.08,6.75,1,7,4,0.04,0,0,0,0,2,140,1,0
342,0,22.58,10.75,2,11,4,0.415,1,1,5,1,2,0,561,1
312,1,20.67,5.29,2,11,4,0.375,1,1,1,0,2,160,1,0
412,0,56.5,16.0,2,5,1,0.0,1,1,15,0,2,0,248,1
1,0,22.67,7.0,2,8,4,0.165,0,0,0,0,2,160,1,0
31,0,20.42,10.5,1,14,8,0.0,0,0,0,1,2,154,33,0
403,1,35.75,2.415,2,9,4,0.125,0,1,2,0,2,220,2,0
449,0,16.33,0.21,2,6,4,0.125,0,0,0,0,2,200,2,0
514,1,22.75,11.5,2,3,4,0.415,0,0,0,0,2,0,1,0
374,1,35.17,4.5,2,14,8,5.75,0,0,0,1,1,711,1,1
523,0,21.5,6.0,2,6,4,2.5,1,1,3,0,2,80,919,1
231,1,27.83,1.5,2,9,4,2.25,0,1,1,1,2,100,4,0
548,0,34.83,1.25,1,3,8,0.5,0,0,0,1,2,160,1,0
252,1,34.75,15.0,2,12,7,5.375,1,1,9,1,2,0,135,1
598,1,24.08,0.875,2,7,4,0.085,0,1,4,0,2,254,1951,0
682,0,22.92,11.585,2,13,4,0.04,1,0,0,0,2,80,1350,1
229,0,22.83,2.29,2,11,8,2.29,1,1,7,1,2,140,2385,1
75,1,36.5,4.25,2,11,4,3.5,0,0,0,0,2,454,51,0
675,1,26.17,12.5,1,4,8,1.25,0,0,0,1,2,0,18,0
258,1,23.0,0.75,2,7,4,0.5,0,0,0,1,1,320,1,0
210,0,29.5,0.46,2,4,4,0.54,1,1,4,0,2,380,501,1
338,0,18.83,4.415,1,8,8,3.0,1,0,0,0,2,240,1,1
563,1,34.75,2.5,2,13,5,0.5,0,0,0,0,2,348,1,0
235,0,22.42,11.25,1,14,8,0.75,1,1,4,0,2,0,322,1
601,1,36.67,3.25,2,11,8,9.0,1,0,0,1,2,102,640,1
499,1,20.42,7.0,2,8,4,1.625,1,1,3,0,2,200,1392,1
175,1,35.25,3.165,2,14,8,3.75,1,0,0,1,2,680,1,0
633,1,25.42,0.54,2,9,4,0.165,0,1,1,0,2,272,445,0
113,0,35.75,0.915,2,6,4,0.75,1,1,4,0,2,0,1584,1
299,1,18.17,2.46,2,8,7,0.96,0,1,2,1,2,160,588,0
637,1,16.33,4.085,2,3,8,0.415,0,0,0,1,2,120,1,0
8,1,27.83,1.0,1,2,8,3.0,0,0,0,0,2,176,538,0
68,1,31.25,2.835,2,1,1,0.0,0,1,5,0,2,176,147,0
573,0,23.5,1.5,2,9,4,0.875,0,0,0,1,2,160,1,0
665,1,31.57,4.0,1,3,4,0.085,0,0,0,1,2,411,1,0
85,1,37.58,0.0,2,8,4,0.0,0,0,0,0,3,184,1,1
263,0,25.08,2.54,1,6,4,0.25,1,0,0,1,2,370,1,1
240,0,28.08,15.0,1,10,9,0.0,1,0,0,0,2,0,13213,1
621,0,18.42,9.25,2,11,4,1.21,1,1,4,0,2,60,541,1
424,1,21.17,0.25,1,8,8,0.25,0,0,0,0,2,280,205,0
50,1,32.33,3.5,2,4,4,0.5,0,0,0,1,2,232,1,0
413,1,32.25,0.165,1,8,8,3.25,1,1,1,1,2,432,8001,1
439,1,22.25,0.46,2,4,4,0.125,0,0,0,1,2,280,56,0
79,0,32.17,1.46,2,9,4,1.085,1,1,16,0,2,120,2080,1
666,1,26.75,4.5,1,8,5,2.5,0,0,0,0,2,200,1211,0
452,0,71.58,0.0,2,8,4,0.0,0,0,0,0,3,184,1,1
249,1,41.5,1.54,2,3,5,3.5,0,0,0,0,2,216,1,1
10,1,33.5,1.75,2,14,8,4.5,1,1,4,1,2,253,858,1
330,0,60.92,5.0,2,6,4,4.0,1,1,4,0,2,0,100,1
627,1,22.92,3.165,1,8,4,0.165,0,0,0,0,2,160,1059,0
527,0,45.33,1.0,2,11,4,0.125,0,0,0,1,2,263,1,0
295,1,51.83,3.0,1,1,1,1.5,0,0,0,0,2,180,5,0
536,1,33.75,2.75,2,3,5,0.0,0,0,0,0,2,180,1,0
283,1,38.92,1.75,2,4,4,0.5,0,0,0,1,2,300,3,0
538,0,35.42,12.0,2,11,8,14.0,1,1,8,0,2,0,6591,1
447,1,62.75,7.0,2,10,9,0.0,0,0,0,0,2,0,13,0
502,1,47.67,2.5,2,7,5,2.5,1,1,12,1,2,410,2511,1
451,1,34.0,4.5,2,6,4,1.0,1,0,0,1,2,240,1,0
689,1,41.0,0.04,2,10,4,0.04,0,1,1,0,1,560,1,1
103,1,27.75,0.585,1,13,4,0.25,1,1,2,0,2,260,501,1
367,1,51.58,15.0,2,8,4,8.5,1,1,9,0,2,0,1,1
522,0,28.5,1.0,2,11,4,1.0,1,1,2,1,2,167,501,0
156,1,18.0,0.165,2,11,7,0.21,0,0,0,0,2,200,41,1
641,0,41.0,2.04,1,11,8,0.125,1,1,23,1,2,455,1237,1
354,1,22.08,2.335,2,4,4,0.75,0,0,0,0,2,180,1,0
266,1,22.17,12.125,2,8,4,3.335,0,1,2,1,2,180,174,0
261,1,22.67,10.5,2,11,8,1.335,1,0,0,0,2,100,1,1
200,0,20.33,10.0,2,8,8,1.0,1,1,4,0,2,50,1466,1
187,1,26.25,1.54,2,9,4,0.125,0,0,0,0,2,100,1,0
196,0,18.75,7.5,2,11,4,2.71,1,1,5,0,2,184,26727,1
686,1,20.67,0.415,2,8,4,0.125,0,0,0,0,2,0,45,0
680,1,21.17,0.0,2,8,4,0.5,0,0,0,1,1,0,1,0
337,1,39.58,5.0,2,1,1,0.0,0,1,2,0,2,17,2,0
37,1,39.58,13.915,2,9,4,8.625,1,1,6,1,2,70,1,1
539,1,31.92,4.46,2,13,8,6.04,1,1,3,0,2,311,301,1
48,0,29.5,2.0,1,10,8,2.0,0,0,0,0,2,256,18,0
465,1,59.67,1.54,2,11,4,0.125,1,0,0,1,2,260,1,1
327,0,51.92,6.5,2,3,5,3.085,0,0,0,1,2,73,1,0
165,1,18.25,0.165,2,2,4,0.25,0,0,0,1,1,280,1,0
222,1,25.33,0.58,2,8,4,0.29,1,1,7,1,2,96,5125,1
402,1,19.33,10.915,2,8,5,0.585,0,1,2,1,2,200,8,0
76,1,25.58,0.335,2,4,8,3.5,0,0,0,1,2,340,1,0
64,0,24.5,0.5,2,11,8,1.5,1,0,0,0,2,280,825,1
52,1,28.17,0.125,1,4,4,0.085,0,0,0,0,2,216,2101,0
613,1,39.42,1.71,1,7,4,0.165,0,0,0,0,1,400,1,0
278,1,32.83,2.5,2,13,8,2.75,1,1,6,0,2,160,2073,1
530,1,33.0,2.5,1,9,4,7.0,0,0,0,1,2,280,1,0
162,1,43.08,0.375,1,8,4,0.375,1,1,8,1,2,300,163,1
245,0,16.92,0.5,2,3,4,0.165,0,1,6,1,2,240,36,0
455,1,24.42,2.0,2,10,2,0.165,0,1,2,0,2,320,1301,0
457,0,23.0,11.75,2,14,8,0.5,1,1,2,1,2,300,552,1
317,0,50.08,12.54,2,6,4,2.29,1,1,3,1,2,156,1,1
144,0,16.5,1.25,2,11,4,0.25,0,1,1,0,2,108,99,0
346,0,30.0,5.29,2,10,2,2.25,1,1,5,1,2,99,501,1
310,1,21.08,10.085,1,10,8,1.25,0,0,0,0,2,260,1,0
202,1,33.17,1.04,2,12,8,6.5,1,0,0,1,2,164,31286,1
332,1,23.25,4.0,2,8,5,0.25,1,0,0,1,2,160,1,1
532,1,34.67,1.08,2,7,4,1.165,0,0,0,0,1,28,1,0
242,1,49.5,7.585,2,3,5,7.585,1,1,15,1,2,0,5001,1
18,1,20.0,1.25,1,4,4,0.125,0,0,0,0,2,140,5,0
490,1,27.58,2.04,1,6,4,2.0,1,1,3,1,2,370,561,1
475,1,23.58,0.46,1,9,4,2.625,1,1,6,1,2,208,348,0
55,1,27.83,1.5,2,9,4,2.0,1,1,11,1,2,434,36,1
49,0,52.83,15.0,2,8,4,5.5,1,1,14,0,2,0,2201,1
658,0,17.67,0.0,1,5,1,0.0,0,0,0,0,2,86,1,0
676,0,22.75,6.165,2,6,4,0.165,0,0,0,0,2,220,1001,0
