,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,y
547,1,22.92,0.17,2,7,4,0.085,0,0,0,0,1,0,1,0
350,0,25.17,2.875,2,14,8,0.875,1,0,0,0,2,360,1,1
18,1,20.0,1.25,1,4,4,0.125,0,0,0,0,2,140,5,0
683,0,48.17,1.335,2,3,7,0.335,0,0,0,0,2,0,121,0
436,1,24.58,12.5,2,9,4,0.875,1,0,0,1,2,260,1,0
589,1,29.83,2.04,1,14,8,0.04,0,0,0,0,2,128,2,0
188,0,29.75,0.665,2,9,4,0.25,0,0,0,1,2,300,1,0
51,1,21.08,4.125,1,3,8,0.04,0,0,0,0,2,140,101,0
557,1,23.33,1.5,2,8,8,1.415,1,0,0,0,2,422,201,1
484,1,42.83,4.625,2,11,4,4.58,1,0,0,0,1,0,1,1
66,0,19.5,0.165,2,11,4,0.04,0,0,0,1,2,380,1,0
622,0,23.25,5.875,2,11,4,3.17,1,1,10,0,2,120,246,1
320,1,21.0,4.79,1,9,4,2.25,1,1,1,1,2,80,301,1
500,1,17.5,22.0,3,1,7,0.0,0,0,0,1,3,450,100001,1
89,1,22.17,0.585,1,1,1,0.0,0,0,0,0,2,100,1,0
300,1,39.0,5.0,2,13,4,3.5,1,1,10,1,2,0,1,1
366,1,31.08,1.5,1,9,4,0.04,0,0,0,0,1,160,1,0
35,1,74.83,19.0,1,1,1,0.04,0,1,2,0,2,0,352,0
501,1,18.08,6.75,1,7,4,0.04,0,0,0,0,2,140,1,0
642,1,35.17,25.125,2,14,8,1.625,1,1,1,1,2,515,501,1
617,0,27.58,3.0,2,7,4,2.79,0,1,1,1,2,280,11,0
601,1,36.67,3.25,2,11,8,9.0,1,0,0,1,2,102,640,1
111,1,47.33,6.5,2,8,4,1.0,0,0,0,1,2,0,229,0
379,1,19.42,6.5,2,9,8,1.46,1,1,7,0,2,80,2955,1
145,0,68.67,15.0,2,10,9,0.0,1,1,14,0,2,0,3377,1
594,1,47.17,5.835,2,9,4,5.5,0,0,0,0,2,465,151,0
167,0,22.5,8.46,1,14,4,2.46,0,0,0,0,2,164,1,1
41,1,22.58,1.5,1,6,4,0.54,0,0,0,1,2,120,68,0
56,1,40.0,6.5,2,6,5,3.5,1,1,1,0,2,0,501,1
30,1,27.0,0.75,2,8,8,4.25,1,1,3,1,2,312,151,1
151,1,45.17,1.5,2,8,4,2.5,1,0,0,1,2,140,1,0
578,0,25.42,1.125,2,11,4,1.29,1,1,2,0,2,200,1,0
503,1,57.42,8.5,2,10,8,7.0,1,1,3,0,2,0,1,1
334,0,42.25,1.75,1,8,4,0.0,0,0,0,1,2,150,2,0
108,0,49.83,13.585,2,4,8,8.5,1,0,0,1,2,0,1,1
433,1,27.83,1.54,2,9,4,3.75,1,1,5,1,2,100,4,1
689,1,41.0,0.04,2,10,4,0.04,0,1,1,0,1,560,1,1
196,0,18.75,7.5,2,11,4,2.71,1,1,5,0,2,184,26727,1
39,0,47.42,3.0,2,14,4,13.875,1,1,2,1,2,519,1705,1
581,1,56.0,12.5,2,4,8,8.0,1,0,0,1,2,24,2029,1
245,0,16.92,0.5,2,3,4,0.165,0,1,6,1,2,240,36,0
640,1,23.5,2.75,2,1,1,4.5,0,0,0,0,2,160,26,0
638,1,26.75,2.0,2,2,4,0.75,0,0,0,1,2,80,1,0
157,1,37.5,0.835,2,10,4,0.04,0,0,0,0,2,120,6,0
443,1,29.92,1.835,2,8,8,4.335,1,0,0,0,2,260,201,1
126,0,58.33,10.0,2,11,4,4.0,1,1,14,0,2,0,1603,1
303,1,18.58,5.71,2,2,4,0.54,0,0,0,0,2,120,1,0
576,0,33.17,2.25,1,13,4,3.5,0,0,0,1,2,200,142,0
521,0,18.25,10.0,2,9,4,1.0,0,1,1,0,2,120,2,0
92,1,28.67,14.5,2,2,4,0.125,0,0,0,0,2,0,287,0
414,0,20.5,11.835,2,8,8,6.0,1,0,0,0,2,340,1,1
464,0,57.58,2.0,2,1,1,6.5,0,1,1,0,2,0,11,0
287,1,41.33,0.0,2,8,5,15.0,1,0,0,0,2,0,1,1
597,1,34.92,2.5,2,9,4,0.0,1,0,0,1,2,239,201,1
80,1,25.17,3.5,2,13,4,0.625,1,1,7,0,2,0,7060,1
50,1,32.33,3.5,2,4,4,0.5,0,0,0,1,2,232,1,0
176,0,56.83,4.25,1,1,1,5.0,0,0,0,1,2,0,5,0
676,0,22.75,6.165,2,6,4,0.165,0,0,0,0,2,220,1001,0
641,0,41.0,2.04,1,11,8,0.125,1,1,23,1,2,455,1237,1
181,0,33.75,0.75,2,4,5,1.0,1,1,3,1,2,212,1,0
213,1,25.0,12.0,2,4,4,2.25,1,1,2,1,2,120,6,0
240,0,28.08,15.0,1,10,9,0.0,1,0,0,0,2,0,13213,1
364,1,30.75,1.585,2,2,4,0.585,0,0,0,1,1,0,1,0
183,1,24.33,6.625,1,2,4,5.5,1,0,0,1,1,100,1,1
558,1,69.17,9.0,2,1,1,4.0,0,1,1,0,2,70,7,0
444,1,20.08,0.25,2,11,4,0.125,0,0,0,0,2,200,1,0
256,1,37.5,1.125,1,2,4,1.5,0,0,0,1,2,431,1,1
264,1,36.33,2.125,1,9,4,0.085,1,1,1,0,2,50,1188,1
235,0,22.42,11.25,1,14,8,0.75,1,1,4,0,2,0,322,1
185,1,30.67,2.5,2,13,8,2.25,0,0,0,1,1,340,1,0
514,1,22.75,11.5,2,3,4,0.415,0,0,0,0,2,0,1,0
76,1,25.58,0.335,2,4,8,3.5,0,0,0,1,2,340,1,0
592,1,36.08,2.54,2,1,1,0.0,0,0,0,0,2,0,1001,0
544,1,37.75,7.0,2,11,8,11.5,1,1,7,1,2,300,6,0
428,0,24.83,4.5,2,9,4,1.0,0,0,0,1,2,360,7,0
253,1,33.67,1.25,2,9,4,1.165,0,0,0,0,2,120,1,0
234,0,64.08,0.165,2,1,1,0.0,1,1,1,0,2,232,101,1
294,1,34.25,3.0,2,13,8,7.415,1,0,0,1,2,0,1,1
25,1,32.75,1.5,2,13,8,5.5,1,1,3,1,2,0,1,1
462,1,20.42,1.085,2,11,4,1.5,0,0,0,0,2,108,8,0
64,0,24.5,0.5,2,11,8,1.5,1,0,0,0,2,280,825,1
523,0,21.5,6.0,2,6,4,2.5,1,1,3,0,2,80,919,1
392,0,27.17,1.25,2,1,1,0.0,0,1,1,0,2,92,301,0
180,1,41.17,1.25,1,9,4,0.25,0,0,0,0,2,0,196,0
487,1,55.92,11.5,2,1,1,5.0,1,1,5,0,2,0,8852,1
511,1,18.17,10.25,2,8,8,1.085,0,0,0,0,2,320,14,0
148,1,34.83,4.0,2,2,5,12.5,1,0,0,1,2,184,1,0
109,1,32.33,2.5,2,8,4,1.25,0,0,0,1,2,280,1,0
319,0,24.5,12.75,2,8,5,4.75,1,1,2,0,2,73,445,1
53,1,19.0,1.75,1,8,4,2.335,0,0,0,1,2,112,7,0
298,1,39.17,1.71,2,14,4,0.125,1,1,5,1,2,480,1,1
609,1,19.17,9.5,2,9,4,1.5,1,0,0,0,2,120,2207,1
604,0,46.67,0.46,2,13,8,0.415,1,1,11,1,2,440,7,1
409,1,25.25,1.0,2,6,4,0.5,0,0,0,0,2,200,1,0
228,1,45.0,8.5,2,13,8,14.0,1,1,1,1,2,88,2001,1
479,1,31.57,5.0,1,6,4,8.5,1,0,0,0,2,0,1,0
506,0,21.92,11.665,2,4,8,0.085,0,0,0,0,2,320,6,0
78,1,23.08,0.0,2,4,4,1.0,0,1,11,0,1,0,1,0
352,1,31.57,4.0,2,14,4,5.0,1,1,3,1,2,290,2280,1
553,1,49.58,19.0,2,1,1,0.0,1,1,1,0,2,94,1,0
660,1,26.67,2.71,1,13,4,5.25,1,1,1,0,2,211,1,1
131,0,20.83,0.5,1,10,2,1.0,0,0,0,0,2,260,1,0
165,1,18.25,0.165,2,2,4,0.25,0,0,0,1,1,280,1,0
545,1,17.08,0.085,1,8,4,0.04,0,0,0,0,2,140,723,0
32,1,52.33,1.375,1,8,8,9.46,1,0,0,1,2,200,101,0
475,1,23.58,0.46,1,9,4,2.625,1,1,6,1,2,208,348,0
437,1,32.67,5.5,2,11,8,5.5,1,1,12,1,2,408,1001,1
367,1,51.58,15.0,2,8,4,8.5,1,1,9,0,2,0,1,1
646,0,19.75,0.75,2,8,4,0.795,1,1,5,1,2,140,6,0
233,1,56.42,28.0,1,8,4,28.5,1,1,40,0,2,0,16,1
328,1,22.17,2.25,2,3,4,0.125,0,0,0,0,2,160,11,0
