,age,recidivated,number_of_prior_crimes,months_in_jail,felony,misdemeanor,woman,man,black,y
1705,38,1,0,2,0,1,0,1,0,1
559,65,1,2,5,0,1,0,1,1,1
3448,34,1,5,6,0,1,0,1,0,1
124,33,1,8,0,0,1,0,1,1,1
1262,35,0,2,1,0,1,0,1,1,1
3228,51,0,19,13,1,0,0,1,1,0
2678,35,1,0,1,1,0,0,1,1,1
4299,55,0,4,5,1,0,0,1,0,1
2984,24,1,0,1,0,1,0,1,1,1
4541,20,1,0,0,1,0,0,1,1,1
3965,35,0,0,0,1,0,0,1,0,1
1669,44,0,9,25,1,0,0,1,1,0
1996,42,0,1,0,1,0,0,1,1,1
965,20,1,0,11,0,1,0,1,0,1
4312,28,0,0,0,0,1,1,0,0,1
3066,24,1,7,68,1,0,0,1,1,0
1495,30,1,5,2,1,0,0,1,1,0
2641,58,0,0,1,1,0,1,0,0,1
1399,37,0,2,1,0,1,0,1,0,1
1767,20,1,0,3,1,0,0,1,0,1
467,26,0,3,1,1,0,0,1,1,1
2402,21,1,1,5,1,0,0,1,0,1
1091,44,0,2,2,1,0,0,1,1,1
3357,21,1,0,1,1,0,1,0,1,0
5809,23,1,0,0,0,1,0,1,1,1
1155,59,1,17,23,1,0,0,1,0,1
4001,22,1,0,0,0,1,1,0,1,0
1525,25,1,24,0,1,0,0,1,0,0
4156,21,1,3,0,1,0,0,1,1,1
2902,23,1,2,0,1,0,0,1,1,1
882,35,1,1,1,0,1,0,1,1,0
1990,52,0,0,0,1,0,0,1,1,1
257,32,0,5,-1,1,0,1,0,1,1
214,40,0,3,1,1,0,1,0,0,1
1369,57,0,12,50,1,0,0,1,1,0
4604,26,0,3,0,0,1,0,1,0,0
1189,42,0,2,1,1,0,1,0,1,1
4742,21,1,0,2,1,0,0,1,0,1
1170,28,0,4,0,1,0,1,0,1,1
1833,38,0,3,0,1,0,0,1,0,1
4119,25,1,2,1,1,0,0,1,1,1
4487,22,1,0,6,1,0,1,0,1,1
2066,49,0,0,73,1,0,0,1,0,1
2915,25,1,0,-1,1,0,0,1,1,0
5314,50,1,1,40,0,1,0,1,0,1
1461,51,0,1,162,1,0,0,1,1,1
1519,43,0,4,2,0,1,0,1,0,1
1831,29,0,0,0,1,0,0,1,1,1
834,30,0,3,26,1,0,1,0,1,1
5056,39,0,1,13,1,0,0,1,1,1
3927,54,1,4,1,1,0,0,1,1,1
1657,26,0,2,0,0,1,0,1,1,1
4846,21,1,2,77,1,0,0,1,0,1
914,38,0,0,1,1,0,0,1,0,1
4096,25,1,6,0,1,0,0,1,0,0
3768,34,0,3,0,0,1,0,1,0,1
287,23,0,1,1,1,0,0,1,1,1
2805,23,1,0,18,1,0,0,1,0,0
5325,22,0,1,8,0,1,0,1,0,1
1547,21,1,3,4,1,0,0,1,1,1
4014,22,0,0,0,1,0,0,1,0,1
5417,24,0,1,1,1,0,0,1,0,1
4097,24,1,2,1,0,1,0,1,1,1
5672,31,1,2,33,0,1,0,1,0,1
4181,31,0,0,-1,1,0,1,0,1,1
4717,21,1,0,0,1,0,0,1,1,1
3373,33,1,2,28,1,0,0,1,1,0
3758,30,0,4,7,1,0,0,1,1,1
994,34,0,0,0,0,1,0,1,0,1
3493,33,0,2,21,0,1,0,1,0,1
4972,31,1,19,0,1,0,0,1,0,1
6102,56,0,4,16,1,0,0,1,1,1
878,39,0,1,14,1,0,0,1,0,1
863,53,0,0,1,0,1,0,1,0,1
4743,42,0,7,0,1,0,0,1,1,1
4618,33,0,0,0,1,0,0,1,0,1
1327,32,1,15,7,1,0,0,1,1,0
2455,44,0,0,2,1,0,0,1,1,1
5254,20,0,4,0,1,0,0,1,0,0
4847,44,0,0,1,1,0,0,1,1,1
12,31,1,7,3,1,0,0,1,1,1
2350,34,0,2,2,1,0,0,1,0,1
5085,29,0,2,1,0,1,0,1,0,1
6002,57,1,28,2,1,0,0,1,1,0
4291,68,0,2,0,1,0,0,1,1,1
4927,21,0,1,22,1,0,0,1,1,1
4983,31,1,5,37,1,0,0,1,0,1
14,25,0,3,1,1,0,0,1,1,0
2705,34,1,6,13,1,0,0,1,1,0
4518,25,0,0,34,1,0,0,1,1,1
5472,32,1,4,1,1,0,0,1,1,1
5401,21,1,2,1,1,0,1,0,1,0
3890,56,1,1,0,1,0,1,0,1,1
4514,31,1,5,0,0,1,0,1,1,0
5772,32,0,4,3,1,0,0,1,1,0
5479,28,1,4,34,0,1,0,1,1,1
5546,39,0,8,40,1,0,0,1,1,1
2772,39,1,17,181,1,0,0,1,0,1
2228,29,1,17,2,1,0,0,1,0,1
3719,35,0,2,1,1,0,0,1,0,1
143,25,1,1,1,0,1,0,1,1,1
3111,33,1,0,0,1,0,0,1,0,1
4614,41,1,0,1,1,0,0,1,0,1
3586,23,0,4,2,1,0,0,1,0,0
4586,40,0,0,0,0,1,0,1,0,1
1569,24,0,0,0,0,1,0,1,1,1
5919,28,1,13,1,1,0,0,1,1,0
3712,43,1,0,1,1,0,0,1,1,1
3058,26,0,0,1,0,1,0,1,1,1
3824,29,0,0,1,0,1,1,0,1,1
2464,58,0,3,2,1,0,0,1,0,1
1453,49,0,1,24,1,0,0,1,1,1
2617,21,1,1,86,1,0,0,1,1,0
3536,23,0,2,35,1,0,0,1,0,1
4046,50,0,3,11,1,0,0,1,0,1
5954,32,1,4,1,1,0,0,1,1,1
5457,23,0,0,0,0,1,0,1,1,1
2534,37,0,0,1,0,1,0,1,0,1
4797,44,1,10,5,1,0,1,0,0,1
3439,26,0,0,2,0,1,0,1,1,1
170,37,0,0,0,0,1,1,0,0,1
3294,44,1,0,0,1,0,0,1,1,1
1386,37,1,8,1,1,0,0,1,1,1
5570,28,1,5,0,1,0,0,1,1,1
5219,47,0,3,1,1,0,0,1,1,1
3653,23,0,0,1,0,1,1,0,1,1
4506,41,0,7,1,0,1,0,1,1,1
3885,22,1,3,142,1,0,0,1,0,1
