,age,recidivated,number_of_prior_crimes,months_in_jail,felony,misdemeanor,woman,man,black,y
27,30,1,9,44,1,0,0,1,0,0
3651,51,1,1,0,1,0,0,1,0,1
3631,25,1,1,0,1,0,0,1,1,1
3021,31,0,2,2,0,1,0,1,1,1
5349,49,1,29,0,1,0,0,1,1,1
3887,23,1,1,120,1,0,0,1,1,1
248,34,1,5,2,1,0,0,1,1,1
953,40,0,0,0,0,1,1,0,0,1
3345,47,0,2,1,1,0,0,1,0,1
2600,34,0,5,2,0,1,0,1,1,1
6155,43,0,0,1,0,1,0,1,1,1
1796,45,1,9,54,1,0,0,1,0,0
1815,47,0,0,0,1,0,1,0,0,1
5229,20,1,0,0,0,1,0,1,1,1
936,50,0,7,0,1,0,0,1,1,1
957,61,1,1,0,1,0,0,1,1,1
4011,58,0,1,1,1,0,0,1,0,1
15,31,1,6,1,1,0,0,1,0,1
2619,29,0,0,1,0,1,0,1,0,1
3969,26,0,1,1,0,1,0,1,0,1
257,32,0,5,-1,1,0,1,0,1,1
2430,37,1,1,0,0,1,0,1,1,1
1325,26,0,0,0,1,0,0,1,0,1
3905,41,0,2,15,1,0,1,0,0,1
5449,37,1,6,0,1,0,0,1,1,1
463,44,0,1,0,0,1,0,1,1,1
4529,36,0,1,0,0,1,0,1,1,1
344,53,0,11,110,1,0,0,1,1,1
72,50,1,0,0,1,0,0,1,0,1
586,47,1,2,2,1,0,0,1,0,1
2199,21,0,0,1,1,0,1,0,1,1
3815,43,1,2,5,1,0,0,1,0,1
3325,25,1,4,9,0,1,0,1,1,1
1002,24,0,5,1,1,0,0,1,0,1
5290,26,0,1,1,1,0,0,1,1,1
4652,44,0,0,2,1,0,0,1,1,1
4753,45,0,2,7,1,0,0,1,0,1
4133,40,1,15,72,1,0,0,1,1,0
3799,34,0,1,2,1,0,1,0,1,1
4135,37,1,3,0,0,1,0,1,1,1
1589,20,1,3,42,1,0,0,1,0,0
1583,56,0,4,2,1,0,0,1,1,1
4684,25,1,1,68,1,0,0,1,0,1
4244,22,0,0,0,0,1,0,1,0,1
3485,64,0,0,0,0,1,0,1,0,1
4511,21,1,2,35,0,1,0,1,1,0
4903,39,1,0,2,1,0,0,1,0,1
3481,23,1,0,3,1,0,0,1,0,1
4788,25,1,10,7,1,0,0,1,0,0
3979,55,1,10,4,0,1,0,1,1,1
5665,25,1,7,0,1,0,0,1,1,0
1080,21,0,0,0,0,1,0,1,1,1
2481,54,0,1,0,0,1,1,0,0,1
1097,42,0,0,0,1,0,0,1,1,1
230,25,0,0,0,1,0,0,1,0,1
3707,28,1,1,0,0,1,0,1,0,1
2023,44,0,16,81,0,1,0,1,0,1
2387,29,0,1,0,0,1,0,1,0,0
6024,29,0,0,0,1,0,1,0,1,1
838,42,0,0,0,0,1,0,1,0,1
4096,25,1,6,0,1,0,0,1,0,0
273,28,1,2,1,0,1,0,1,0,1
625,34,1,10,2,1,0,0,1,1,1
3755,27,1,12,1,1,0,0,1,1,0
3446,36,0,2,1,1,0,1,0,0,1
1853,30,1,4,15,0,1,0,1,1,0
5489,29,0,11,0,0,1,0,1,1,0
4290,57,1,0,0,1,0,0,1,1,1
3019,39,0,0,1,1,0,1,0,0,1
3189,34,0,0,0,0,1,0,1,0,1
4327,24,1,0,22,1,0,0,1,1,1
4177,24,0,1,0,1,0,0,1,1,1
3941,58,0,1,-1,0,1,1,0,0,1
5053,23,0,0,0,1,0,0,1,1,1
3438,33,0,0,53,1,0,0,1,0,1
4091,27,0,0,1,1,0,0,1,0,1
184,51,0,0,0,0,1,0,1,0,1
2862,50,0,4,13,1,0,1,0,1,1
5484,22,1,3,16,1,0,0,1,1,1
3686,53,1,6,10,1,0,1,0,0,1
2758,33,1,4,1,1,0,0,1,1,1
491,50,1,5,1,1,0,0,1,0,1
844,51,0,17,0,0,1,0,1,1,1
317,28,0,1,1,0,1,0,1,1,1
2739,50,1,0,35,1,0,0,1,0,1
5152,30,0,0,0,0,1,1,0,0,1
3,44,0,0,1,0,1,0,1,0,1
721,26,1,4,293,0,1,0,1,0,1
103,30,0,1,1,1,0,1,0,0,1
3696,34,1,10,0,1,0,0,1,1,0
1736,34,1,2,9,1,0,0,1,0,1
4604,26,0,3,0,0,1,0,1,0,0
4425,19,1,1,3,1,0,0,1,1,1
5905,37,1,4,1,0,1,0,1,1,1
4740,34,1,0,33,1,0,0,1,1,0
3057,28,0,4,0,1,0,0,1,1,1
3202,48,1,1,1,0,1,1,0,0,1
4843,31,0,0,0,0,1,0,1,1,1
1664,59,1,3,1,0,1,0,1,0,1
4196,80,0,0,0,0,1,0,1,0,1
514,27,1,6,34,1,0,0,1,0,1
4145,20,1,0,11,0,1,0,1,1,0
2660,24,0,0,0,1,0,0,1,1,0
5963,40,1,3,0,1,0,1,0,0,1
6067,27,1,0,0,0,1,1,0,0,0
2405,49,1,6,0,0,1,0,1,1,1
5886,31,0,0,0,1,0,0,1,0,1
411,24,1,6,3,1,0,1,0,0,0
641,47,1,19,30,1,0,1,0,1,0
1939,37,1,1,1,0,1,0,1,0,1
2509,23,1,3,3,1,0,0,1,0,1
696,34,1,1,0,0,1,0,1,0,1
288,47,0,3,0,1,0,0,1,1,1
4050,40,0,3,40,0,1,0,1,0,1
2726,40,0,0,4,1,0,1,0,0,1
4785,23,1,0,0,0,1,0,1,1,1
256,43,1,2,7,1,0,0,1,0,1
5764,23,1,1,1,1,0,0,1,1,1
5408,38,0,0,2,1,0,1,0,0,1
5931,45,0,0,1,1,0,0,1,0,1
626,23,0,0,0,1,0,0,1,1,1
